PlayerID,LastName,FirstName,Bats,Pitches,Team
donaj001,Donaldson,Josh,R,R,OAK
gonzg003,Gonzalez,Gio,R,L,OAK
sogae001,Sogard,Eric,L,R,OAK
suzuk001,Suzuki,Kurt,R,R,OAK
hamec001,Hamels,Cole,L,L,PHI
happj001,Happ,J.A.,L,L,PHI
krate001,Kratz,Erik,R,R,PIT
mccua001,McCutchen,Andrew,R,R,PIT
mortc002,Morton,Charlie,R,R,PIT
walkn001,Walker,Neil,B,R,PIT
leblw001,LeBlanc,Wade,L,L,SDN
smoaj001,Smoak,Justin,B,L,SEA
bumgm001,Bumgarner,Madison,R,L,SFN
romos001,Romo,Sergio,R,R,SFN
sandp001,Sandoval,Pablo,B,R,SFN
jay-j001,Jay,Jon,L,L,SLN
moliy001,Molina,Yadier,R,R,SLN
ottaa001,Ottavino,Adam,L,R,SLN
pujoa001,Pujols,Albert,R,R,SLN
waina001,Wainwright,Adam,R,R,SLN
daviw001,Davis,Wade,R,R,TBA
joycm001,Joyce,Matthew,L,R,TBA
longe001,Longoria,Evan,R,R,TBA
mcgej001,McGee,Jake,L,L,TBA
rodrs002,Rodriguez,Sean,R,R,TBA
andre001,Andrus,Elvis,R,R,TEX
cruzn002,Cruz,Nelson,R,R,TEX
davic003,Davis,Chris,L,R,TEX
holld003,Holland,Derek,B,L,TEX
huntt002,Hunter,Tommy,R,R,TEX
morem001,Moreland,Mitch,L,L,TEX
odayd001,O'Day,Darren,R,R,TEX
smoaj001,Smoak,Justin,B,L,TEX
strop001,Strop,Pedro,R,R,TEX
encae001,Encarnacion,Edwin,R,R,TOR
clipt001,Clippard,Tyler,R,R,WAS
detwr001,Detwiler,Ross,R,L,WAS
ramow001,Ramos,Wilson,R,R,WAS
stamc001,Stammen,Craig,R,R,WAS
stras001,Strasburg,Stephen,R,R,WAS
zimmj003,Zimmermann,Jordan,R,R,WAS
chatt001,Chatwood,Tyler,R,R,ANA
kendh001,Kendrick,Howie,R,R,ANA
mathj001,Mathis,Jeff,R,R,ANA
richg002,Richards,Garrett,R,R,ANA
romia001,Romine,Andrew,B,R,ANA
troum001,Trout,Mike,R,R,ANA
goldp001,Goldschmidt,Paul,R,R,ARI
hudsd001,Hudson,Daniel,R,R,ARI
kenni001,Kennedy,Ian,R,R,ARI
milew001,Miley,Wade,L,L,ARI
shawb001,Shaw,Bryan,B,R,ARI
uptoj001,Upton,Justin,R,R,ARI
freef001,Freeman,Freddie,L,R,ATL
gearc001,Gearrin,Cory,R,R,ATL
heywj001,Heyward,Jason,L,L,ATL
kimbc001,Kimbrel,Craig,R,R,ATL
minom001,Minor,Mike,R,L,ATL
tehej001,Teheran,Julio,R,R,ATL
arrij001,Arrieta,Jake,R,R,BAL
britz001,Britton,Zach,L,L,BAL
davic003,Davis,Chris,L,R,BAL
huntt002,Hunter,Tommy,R,R,BAL
markn001,Markakis,Nick,L,L,BAL
strop001,Strop,Pedro,R,R,BAL
wietm001,Wieters,Matt,B,R,BAL
bardd001,Bard,Daniel,R,R,BOS
hillr001,Hill,Rich,L,L,BOS
iglej001,Iglesias,Jose,R,R,BOS
lavar001,Lavarnway,Ryan,R,R,BOS
lestj001,Lester,Jon,L,L,BOS
milla002,Miller,Andrew,L,L,BOS
reddj001,Reddick,Josh,L,R,BOS
escoe001,Escobar,Eduardo,B,R,CHA
flowt001,Flowers,Tyler,R,R,CHA
casts001,Castro,Starlin,R,R,CHN
dolir001,Dolis,Rafael,R,R,CHN
lemad001,LeMahieu,DJ,R,R,CHN
samaj001,Samardzija,Jeff,R,R,CHN
bailh001,Bailey,Homer,R,R,CIN
brucj001,Bruce,Jay,L,L,CIN
chapa001,Chapman,Aroldis,L,L,CIN
cuetj001,Cueto,Johnny,R,R,CIN
frazt001,Frazier,Todd,R,R,CIN
volqe001,Volquez,Edinson,R,R,CIN
vottj001,Votto,Joey,L,R,CIN
branm003,Brantley,Michael,L,L,CLE
cabra002,Cabrera,Asdrubal,B,R,CLE
carrc003,Carrasco,Carlos,R,R,CLE
choos001,Choo,Shin-Soo,L,L,CLE
kipnj001,Kipnis,Jason,L,R,CLE
klubc001,Kluber,Corey,R,R,CLE
santc002,Santana,Carlos,B,R,CLE
tomlj001,Tomlin,Josh,R,R,CLE
blacc001,Blackmon,Charlie,L,L,COL
brotr001,Brothers,Rex,L,L,COL
chacj001,Chacin,Jhoulys,R,R,COL
fowld001,Fowler,Dexter,B,R,COL
nicaj001,Nicasio,Juan,R,R,COL
pomed001,Pomeranz,Drew,R,L,COL
avila001,Avila,Alex,L,R,DET
cabrm001,Cabrera,Miguel,R,R,DET
porcr001,Porcello,Rick,R,R,DET
schem001,Scherzer,Max,R,R,DET
verlj001,Verlander,Justin,R,R,DET
bonie001,Bonifacio,Emilio,B,R,FLO
cishs001,Cishek,Steve,R,R,FLO
handb001,Hand,Brad,L,L,FLO
morrl001,Morrison,Logan,L,L,FLO
sanca004,Sanchez,Anibal,R,R,FLO
stanm004,Stanton,Giancarlo,R,R,FLO
altuj001,Altuve,Jose,R,R,HOU
happj001,Happ,J.A.,L,L,HOU
lylej001,Lyles,Jordan,R,R,HOU
martj006,Martinez,J.D.,R,R,HOU
melam001,Melancon,Mark,R,R,HOU
pench001,Pence,Hunter,R,R,HOU
cainl001,Cain,Lorenzo,R,R,KCA
chavj001,Chavez,Jesse,R,R,KCA
duffd001,Duffy,Danny,L,L,KCA
dysoj001,Dyson,Jarrod,L,R,KCA
gorda001,Gordon,Alex,L,R,KCA
herrk001,Herrera,Kelvin,R,R,KCA
hollg001,Holland,Greg,R,R,KCA
hosme001,Hosmer,Eric,L,L,KCA
jeffj001,Jeffress,Jeremy,R,R,KCA
mousm001,Moustakas,Mike,L,R,KCA
peres002,Perez,Salvador,R,R,KCA
pinam001,Pina,Manny,R,R,KCA
sorij001,Soria,Joakim,R,R,KCA
eovan001,Eovaldi,Nathan,R,R,LAN
gordd002,Gordon,Dee,L,R,LAN
guerj002,Guerra,Javy,R,R,LAN
jansk001,Jansen,Kenley,B,R,LAN
kempm001,Kemp,Matt,R,R,LAN
kersc001,Kershaw,Clayton,L,L,LAN
lindj004,Lindblom,Josh,R,R,LAN
braur002,Braun,Ryan,R,R,MIL
fierm001,Fiers,Michael,R,R,MIL
greiz001,Greinke,Zack,R,R,MIL
kintb001,Kintzler,Brandon,R,R,MIL
lucrj001,Lucroy,Jonathan,R,R,MIL
maldm001,Maldonado,Martin,R,R,MIL
buted001,Butera,Drew,R,R,MIN
hendl001,Hendriks,Liam,R,R,MIN
river003,Rivera,Rene,R,R,MIN
betad001,Betances,Dellin,R,R,NYA
canor001,Cano,Robinson,L,R,NYA
cervf001,Cervelli,Francisco,R,R,NYA
gardb001,Gardner,Brett,L,L,NYA
novai001,Nova,Ivan,R,R,NYA
nunee002,Nunez,Eduardo,R,R,NYA
romia002,Romine,Austin,R,R,NYA
murpd006,Murphy,Daniel,L,R,NYN
turnj001,Turner,Justin,R,R,NYN
andeb004,Anderson,Brett,L,L,OAK
cahit001,Cahill,Trevor,R,R,OAK
gonzg003,Gonzalez,Gio,R,L,OAK
sogae001,Sogard,Eric,L,R,OAK
suzuk001,Suzuki,Kurt,R,R,OAK
hamec001,Hamels,Cole,L,L,PHI
krate001,Kratz,Erik,R,R,PHI
pench001,Pence,Hunter,R,R,PHI
harrj002,Harrison,Josh,R,R,PIT
hughj001,Hughes,Jared,R,R,PIT
mccua001,McCutchen,Andrew,R,R,PIT
mortc002,Morton,Charlie,R,R,PIT
walkn001,Walker,Neil,B,R,PIT
watst001,Watson,Tony,L,L,PIT
bassa001,Bass,Anthony,R,R,SDN
bracb001,Brach,Brad,R,R,SDN
forsl001,Forsythe,Logan,R,R,SDN
leblw001,LeBlanc,Wade,L,L,SDN
maybc001,Maybin,Cameron,R,R,SDN
rizza001,Rizzo,Anthony,L,L,SDN
pinem001,Pineda,Michael,R,R,SEA
seagk001,Seager,Kyle,L,R,SEA
smoaj001,Smoak,Justin,B,L,SEA
beltb001,Belt,Brandon,L,L,SFN
bumgm001,Bumgarner,Madison,R,L,SFN
crawb001,Crawford,Brandon,L,R,SFN
romos001,Romo,Sergio,R,R,SFN
sandp001,Sandoval,Pablo,B,R,SFN
carpm002,Carpenter,Matt,L,R,SLN
jay-j001,Jay,Jon,L,L,SLN
lynnl001,Lynn,Lance,R,R,SLN
moliy001,Molina,Yadier,R,R,SLN
pujoa001,Pujols,Albert,R,R,SLN
chirr001,Chirinos,Robinson,R,R,TBA
cobba001,Cobb,Alex,R,R,TBA
daviw001,Davis,Wade,R,R,TBA
joycm001,Joyce,Matthew,L,R,TBA
longe001,Longoria,Evan,R,R,TBA
mcgej001,McGee,Jake,L,L,TBA
rodrs002,Rodriguez,Sean,R,R,TBA
andre001,Andrus,Elvis,R,R,TEX
cruzn002,Cruz,Nelson,R,R,TEX
davic003,Davis,Chris,L,R,TEX
holld003,Holland,Derek,B,L,TEX
huntt002,Hunter,Tommy,R,R,TEX
morem001,Moreland,Mitch,L,L,TEX
odayd001,O'Day,Darren,R,R,TEX
strop001,Strop,Pedro,R,R,TEX
encae001,Encarnacion,Edwin,R,R,TOR
thame001,Thames,Eric,L,R,TOR
clipt001,Clippard,Tyler,R,R,WAS
detwr001,Detwiler,Ross,R,L,WAS
milot001,Milone,Tom,L,L,WAS
peacb001,Peacock,Brad,R,R,WAS
ramow001,Ramos,Wilson,R,R,WAS
stamc001,Stammen,Craig,R,R,WAS
stras001,Strasburg,Stephen,R,R,WAS
zimmj003,Zimmermann,Jordan,R,R,WAS
calhk001,Calhoun,Kole,L,L,ANA
greiz001,Greinke,Zack,R,R,ANA
kendh001,Kendrick,Howie,R,R,ANA
pujoa001,Pujols,Albert,R,R,ANA
richg002,Richards,Garrett,R,R,ANA
romia001,Romine,Andrew,B,R,ANA
seguj002,Segura,Jean,R,R,ANA
troum001,Trout,Mike,R,R,ANA
bauet001,Bauer,Trevor,R,R,ARI
cahit001,Cahill,Trevor,R,R,ARI
corbp001,Corbin,Patrick,L,L,ARI
eatoa002,Eaton,Adam,L,L,ARI
goldp001,Goldschmidt,Paul,R,R,ARI
hudsd001,Hudson,Daniel,R,R,ARI
kenni001,Kennedy,Ian,R,R,ARI
milew001,Miley,Wade,L,L,ARI
polla001,Pollock,A.J.,R,R,ARI
shawb001,Shaw,Bryan,B,R,ARI
uptoj001,Upton,Justin,R,R,ARI
avill001,Avilan,Luis,L,L,ATL
freef001,Freeman,Freddie,L,R,ATL
gearc001,Gearrin,Cory,R,R,ATL
heywj001,Heyward,Jason,L,L,ATL
kimbc001,Kimbrel,Craig,R,R,ATL
minom001,Minor,Mike,R,L,ATL
simma001,Simmons,Andrelton,R,R,ATL
tehej001,Teheran,Julio,R,R,ATL
arrij001,Arrieta,Jake,R,R,BAL
britz001,Britton,Zach,L,L,BAL
bundd001,Bundy,Dylan,B,R,BAL
davic003,Davis,Chris,L,R,BAL
huntt002,Hunter,Tommy,R,R,BAL
machm001,Machado,Manny,R,R,BAL
markn001,Markakis,Nick,L,L,BAL
odayd001,O'Day,Darren,R,R,BAL
strop001,Strop,Pedro,R,R,BAL
wietm001,Wieters,Matt,B,R,BAL
bardd001,Bard,Daniel,R,R,BOS
hillr001,Hill,Rich,L,L,BOS
iglej001,Iglesias,Jose,R,R,BOS
lavar001,Lavarnway,Ryan,R,R,BOS
lestj001,Lester,Jon,L,L,BOS
melam001,Melancon,Mark,R,R,BOS
milla002,Miller,Andrew,L,L,BOS
escoe001,Escobar,Eduardo,B,R,CHA
flowt001,Flowers,Tyler,R,R,CHA
jonen001,Jones,Nate,R,R,CHA
quinj001,Quintana,Jose,R,L,CHA
casts001,Castro,Starlin,R,R,CHN
dolir001,Dolis,Rafael,R,R,CHN
parkb001,Parker,Blake,R,R,CHN
raleb001,Raley,Brooks,L,L,CHN
rizza001,Rizzo,Anthony,L,L,CHN
rusic001,Rusin,Chris,L,L,CHN
samaj001,Samardzija,Jeff,R,R,CHN
bailh001,Bailey,Homer,R,R,CIN
brucj001,Bruce,Jay,L,L,CIN
chapa001,Chapman,Aroldis,L,L,CIN
cuetj001,Cueto,Johnny,R,R,CIN
frazt001,Frazier,Todd,R,R,CIN
gregd001,Gregorius,Didi,L,R,CIN
vottj001,Votto,Joey,L,R,CIN
branm003,Brantley,Michael,L,L,CLE
cabra002,Cabrera,Asdrubal,B,R,CLE
choos001,Choo,Shin-Soo,L,L,CLE
kipnj001,Kipnis,Jason,L,R,CLE
klubc001,Kluber,Corey,R,R,CLE
santc002,Santana,Carlos,B,R,CLE
tomlj001,Tomlin,Josh,R,R,CLE
blacc001,Blackmon,Charlie,L,L,COL
brotr001,Brothers,Rex,L,L,COL
chacj001,Chacin,Jhoulys,R,R,COL
chatt001,Chatwood,Tyler,R,R,COL
fowld001,Fowler,Dexter,B,R,COL
harrw002,Harris,Will,R,R,COL
lemad001,LeMahieu,DJ,R,R,COL
nicaj001,Nicasio,Juan,R,R,COL
ottaa001,Ottavino,Adam,L,R,COL
pomed001,Pomeranz,Drew,R,L,COL
avila001,Avila,Alex,L,R,DET
cabrm001,Cabrera,Miguel,R,R,DET
